,Genre,URL
161,Drama,https://www.boxofficemojo.com/movies/?id=wonder.htm
162,Comedy,https://www.boxofficemojo.com/movies/?id=girltrip.htm
163,Action / Crime,https://www.boxofficemojo.com/movies/?id=babydriver.htm
164,Comedy,https://www.boxofficemojo.com/movies/?id=daddyshome2.htm
165,Horror,https://www.boxofficemojo.com/movies/?id=annabelle2.htm
166,Sci-Fi,https://www.boxofficemojo.com/movies/?id=bladerunnersequel.htm
167,Animation,https://www.boxofficemojo.com/movies/?id=theemojimovie.htm
168,Animation,https://www.boxofficemojo.com/movies/?id=ferdinand.htm
169,Action / Adventure,https://www.boxofficemojo.com/movies/?id=mummy2016.htm
170,Sci-Fi Horror,https://www.boxofficemojo.com/movies/?id=alienparadiselost.htm
171,Comedy,https://www.boxofficemojo.com/movies/?id=badmomschristmas.htm
172,Fantasy Drama,https://www.boxofficemojo.com/movies/?id=theshapeofwater.htm
173,Action Comedy,https://www.boxofficemojo.com/movies/?id=baywatch.htm
174,Drama,https://www.boxofficemojo.com/movies/?id=darkesthour2017.htm
175,Crime Comedy,https://www.boxofficemojo.com/movies/?id=threebillboards.htm
176,Crime Thriller,https://www.boxofficemojo.com/movies/?id=mena.htm
177,Comedy / Drama,https://www.boxofficemojo.com/movies/?id=ladybird.htm
178,Comedy,https://www.boxofficemojo.com/movies/?id=motherdaughter.htm
179,Animation,https://www.boxofficemojo.com/movies/?id=smurfs3.htm
180,Drama,https://www.boxofficemojo.com/movies/?id=tupac.htm
181,Horror Thriller,https://www.boxofficemojo.com/movies/?id=47metersdown.htm
182,Sci-Fi,https://www.boxofficemojo.com/movies/?id=valerian.htm
183,Sci-Fi Action,https://www.boxofficemojo.com/movies/?id=ghostintheshell2017.htm
184,Horror,https://www.boxofficemojo.com/movies/?id=saw2017.htm
185,Action Thriller,https://www.boxofficemojo.com/movies/?id=theforeigner.htm
186,Drama,https://www.boxofficemojo.com/movies/?id=windriver.htm
187,Action Comedy,https://www.boxofficemojo.com/movies/?id=monstertrucks.htm
188,Comedy,https://www.boxofficemojo.com/movies/?id=howtobealatinlover.htm
189,Action Horror,https://www.boxofficemojo.com/movies/?id=underworld5.htm
190,Sci-Fi Thriller,https://www.boxofficemojo.com/movies/?id=life2017.htm
191,Drama,https://www.boxofficemojo.com/movies/?id=hostiles.htm
192,Animation,https://www.boxofficemojo.com/movies/?id=nutjob2.htm
193,Action Comedy,https://www.boxofficemojo.com/movies/?id=loganlucky.htm
194,Sci-Fi Action,https://www.boxofficemojo.com/movies/?id=residentevil6.htm
195,Crime,https://www.boxofficemojo.com/movies/?id=allthemoneyintheworld.htm
196,Comedy / Drama,https://www.boxofficemojo.com/movies/?id=downsizing.htm
197,Drama,https://www.boxofficemojo.com/movies/?id=victoriaandabdul.htm
198,Animation,https://www.boxofficemojo.com/movies/?id=mylittlepony2017.htm
199,Comedy,https://www.boxofficemojo.com/movies/?id=thedisasterartist.htm
200,Sci-Fi Adventure,https://www.boxofficemojo.com/movies/?id=starwars2016.htm
201,Action / Adventure,https://www.boxofficemojo.com/movies/?id=marvel2016.htm
202,Adventure,https://www.boxofficemojo.com/movies/?id=junglebook2015.htm
203,Animation,https://www.boxofficemojo.com/movies/?id=disney2016.htm
204,Action / Adventure,https://www.boxofficemojo.com/movies/?id=dc2016.htm
205,Animation,https://www.boxofficemojo.com/movies/?id=disney1116.htm
206,Action / Adventure,https://www.boxofficemojo.com/movies/?id=marvel716.htm
207,Action,https://www.boxofficemojo.com/movies/?id=bourne5.htm
208,Action / Adventure,https://www.boxofficemojo.com/movies/?id=x-men2016.htm
209,Musical,https://www.boxofficemojo.com/movies/?id=lalaland.htm
210,Horror Comedy,https://www.boxofficemojo.com/movies/?id=ghostbusters2016.htm
211,Action / Adventure,https://www.boxofficemojo.com/movies/?id=tarzan2016.htm
212,Comedy,https://www.boxofficemojo.com/movies/?id=untitledlucasmoore.htm
213,Sci-Fi Adventure,https://www.boxofficemojo.com/movies/?id=id42.htm
214,Sci-Fi,https://www.boxofficemojo.com/movies/?id=arrival2016.htm
215,Animation,https://www.boxofficemojo.com/movies/?id=sausageparty.htm
216,Action Comedy,https://www.boxofficemojo.com/movies/?id=ridealong2.htm
217,Fantasy,https://www.boxofficemojo.com/movies/?id=peregrine.htm
