,Genres,URL
219,[],https://www.boxofficemojo.com/movies/?id=alice2.htm
220,[],https://www.boxofficemojo.com/movies/?id=thegirlonthetrain2016.htm
221,[],https://www.boxofficemojo.com/movies/?id=storks.htm
222,[],https://www.boxofficemojo.com/movies/?id=newline0116.htm
223,[],https://www.boxofficemojo.com/movies/?id=allegiant.htm
224,[],https://www.boxofficemojo.com/movies/?id=iceage5.htm
225,['Showdown: London vs. Olympus'],https://www.boxofficemojo.com/movies/?id=londonhasfallen.htm
226,['Nominated for Two Oscars.'],https://www.boxofficemojo.com/movies/?id=deepwaterhorizon.htm
227,[],https://www.boxofficemojo.com/movies/?id=mybigfatgreekwedding2.htm
228,"['Nominated for Four Oscars, Including One Win.']",https://www.boxofficemojo.com/movies/?id=fences.htm
229,[],https://www.boxofficemojo.com/movies/?id=bfg.htm
230,"['Horror - Terror in the Water', 'Shark']",https://www.boxofficemojo.com/movies/?id=theshallows.htm
231,['Video Game Adaptation'],https://www.boxofficemojo.com/movies/?id=assassinscreed.htm
232,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=13hoursthesecretsoldiersofbenghazi.htm
233,[],https://www.boxofficemojo.com/movies/?id=huntsman.htm
234,"['Nominated for Six Oscars, Including Two Wins.']",https://www.boxofficemojo.com/movies/?id=manchesterbythesea.htm
235,[],https://www.boxofficemojo.com/movies/?id=howtobesingle.htm
236,[],https://www.boxofficemojo.com/movies/?id=armsandthedudes.htm
237,[],https://www.boxofficemojo.com/movies/?id=moneymonster.htm
238,[],https://www.boxofficemojo.com/movies/?id=nerve.htm
239,[],https://www.boxofficemojo.com/movies/?id=niceguys.htm
240,[],https://www.boxofficemojo.com/movies/?id=dirtygrandpa.htm
241,[],https://www.boxofficemojo.com/movies/?id=5thwave.htm
242,[],https://www.boxofficemojo.com/movies/?id=mothersday.htm
243,[],https://www.boxofficemojo.com/movies/?id=godsofegypt.htm
244,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=hailcaesar.htm
245,[],https://www.boxofficemojo.com/movies/?id=zoolander2.htm
246,[],https://www.boxofficemojo.com/movies/?id=finesthours.htm
247,['Nominated for Four Oscars.'],https://www.boxofficemojo.com/movies/?id=hellorhighwater.htm
248,[],https://www.boxofficemojo.com/movies/?id=benhur2016.htm
249,[],https://www.boxofficemojo.com/movies/?id=bridgetjonessbaby.htm
250,"['Animation', 'Animation - Computer', 'Underwater']",https://www.boxofficemojo.com/movies/?id=pixar2015.htm
251,"['Animation', 'Animation - Computer']",https://www.boxofficemojo.com/movies/?id=illumination2015.htm
252,"['Revenge', 'Superhero - Comedy', 'Superhero - Origin']",https://www.boxofficemojo.com/movies/?id=deadpool2016.htm
253,[],https://www.boxofficemojo.com/movies/?id=superman2015.htm
254,[],https://www.boxofficemojo.com/movies/?id=illumination2016.htm
255,"['Nominated for Two Oscars, Including One Win.']",https://www.boxofficemojo.com/movies/?id=fantasticbeasts.htm
256,['Nominated for Three Oscars.'],https://www.boxofficemojo.com/movies/?id=hiddenfigures.htm
257,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=startrek2016.htm
258,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=trolls.htm
259,[],https://www.boxofficemojo.com/movies/?id=kungfupanda3.htm
260,['Comedy - Spy'],https://www.boxofficemojo.com/movies/?id=centralintelligence.htm
261,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=sully.htm
262,['Video Game Adaptation'],https://www.boxofficemojo.com/movies/?id=angrybirds.htm
263,[],https://www.boxofficemojo.com/movies/?id=conjuring2.htm
264,['Nominated for Two Oscars.'],https://www.boxofficemojo.com/movies/?id=passengers2016.htm
265,"['Adventure Remake', 'Western']",https://www.boxofficemojo.com/movies/?id=themagnificentseven.htm
266,[],https://www.boxofficemojo.com/movies/?id=dontbreathe.htm
267,"[""Showdown: Affleck's Accountant, Argo and Town""]",https://www.boxofficemojo.com/movies/?id=theaccountant.htm
268,[],https://www.boxofficemojo.com/movies/?id=purge3.htm
269,"['Adventure Remake', 'Dragon - Focal Point of Movie']",https://www.boxofficemojo.com/movies/?id=petesdragon2016.htm
270,[],https://www.boxofficemojo.com/movies/?id=booamadeahalloween.htm
271,[],https://www.boxofficemojo.com/movies/?id=badrobot2016.htm
272,"['Nominated for Six Oscars, Including Two Wins.']",https://www.boxofficemojo.com/movies/?id=hacksawridge.htm
273,[],https://www.boxofficemojo.com/movies/?id=nowyouseeme2.htm
274,['Showdown: The Boss vs. Tammy'],https://www.boxofficemojo.com/movies/?id=michelledarnell.htm
275,['Christian'],https://www.boxofficemojo.com/movies/?id=miraclesfromheaven.htm
