,URL,Widest Theaters
199,https://www.boxofficemojo.com/movies/?id=thedisasterartist.htm,"$1,211,345"
200,https://www.boxofficemojo.com/movies/?id=starwars2016.htm,"4,157 theaters"
201,https://www.boxofficemojo.com/movies/?id=marvel2016.htm,"4,226 theaters"
202,https://www.boxofficemojo.com/movies/?id=junglebook2015.htm,"4,144 theaters"
203,https://www.boxofficemojo.com/movies/?id=disney2016.htm,"3,959 theaters"
204,https://www.boxofficemojo.com/movies/?id=dc2016.htm,"4,255 theaters"
205,https://www.boxofficemojo.com/movies/?id=disney1116.htm,"3,875 theaters"
206,https://www.boxofficemojo.com/movies/?id=marvel716.htm,"3,882 theaters"
207,https://www.boxofficemojo.com/movies/?id=bourne5.htm,"4,039 theaters"
208,https://www.boxofficemojo.com/movies/?id=x-men2016.htm,"4,153 theaters"
209,https://www.boxofficemojo.com/movies/?id=lalaland.htm,"$881,104"
210,https://www.boxofficemojo.com/movies/?id=ghostbusters2016.htm,"3,963 theaters"
211,https://www.boxofficemojo.com/movies/?id=tarzan2016.htm,"3,591 theaters"
212,https://www.boxofficemojo.com/movies/?id=untitledlucasmoore.htm,"3,215 theaters"
213,https://www.boxofficemojo.com/movies/?id=id42.htm,"4,130 theaters"
214,https://www.boxofficemojo.com/movies/?id=arrival2016.htm,"3,115 theaters"
215,https://www.boxofficemojo.com/movies/?id=sausageparty.htm,"3,135 theaters"
216,https://www.boxofficemojo.com/movies/?id=ridealong2.htm,"3,192 theaters"
217,https://www.boxofficemojo.com/movies/?id=peregrine.htm,"3,835 theaters"
218,https://www.boxofficemojo.com/movies/?id=tmnt2016.htm,"4,071 theaters"
219,https://www.boxofficemojo.com/movies/?id=alice2.htm,"3,763 theaters"
220,https://www.boxofficemojo.com/movies/?id=thegirlonthetrain2016.htm,"3,241 theaters"
221,https://www.boxofficemojo.com/movies/?id=storks.htm,"3,922 theaters"
222,https://www.boxofficemojo.com/movies/?id=newline0116.htm,"2,835 theaters"
223,https://www.boxofficemojo.com/movies/?id=allegiant.htm,"3,740 theaters"
224,https://www.boxofficemojo.com/movies/?id=iceage5.htm,"3,997 theaters"
225,https://www.boxofficemojo.com/movies/?id=londonhasfallen.htm,"3,492 theaters"
226,https://www.boxofficemojo.com/movies/?id=deepwaterhorizon.htm,"3,403 theaters"
227,https://www.boxofficemojo.com/movies/?id=mybigfatgreekwedding2.htm,"3,179 theaters"
228,https://www.boxofficemojo.com/movies/?id=fences.htm,"$129,462"
229,https://www.boxofficemojo.com/movies/?id=bfg.htm,"3,392 theaters"
230,https://www.boxofficemojo.com/movies/?id=theshallows.htm,"2,962 theaters"
231,https://www.boxofficemojo.com/movies/?id=assassinscreed.htm,"2,996 theaters"
232,https://www.boxofficemojo.com/movies/?id=13hoursthesecretsoldiersofbenghazi.htm,"2,917 theaters"
233,https://www.boxofficemojo.com/movies/?id=huntsman.htm,"3,802 theaters"
234,https://www.boxofficemojo.com/movies/?id=manchesterbythesea.htm,"$256,498"
235,https://www.boxofficemojo.com/movies/?id=howtobesingle.htm,"3,357 theaters"
236,https://www.boxofficemojo.com/movies/?id=armsandthedudes.htm,"3,258 theaters"
237,https://www.boxofficemojo.com/movies/?id=moneymonster.htm,"3,104 theaters"
238,https://www.boxofficemojo.com/movies/?id=nerve.htm,"2,538 theaters"
239,https://www.boxofficemojo.com/movies/?id=niceguys.htm,"2,865 theaters"
240,https://www.boxofficemojo.com/movies/?id=dirtygrandpa.htm,"2,912 theaters"
241,https://www.boxofficemojo.com/movies/?id=5thwave.htm,"2,908 theaters"
242,https://www.boxofficemojo.com/movies/?id=mothersday.htm,"3,291 theaters"
243,https://www.boxofficemojo.com/movies/?id=godsofegypt.htm,"3,117 theaters"
244,https://www.boxofficemojo.com/movies/?id=hailcaesar.htm,"2,248 theaters"
245,https://www.boxofficemojo.com/movies/?id=zoolander2.htm,"3,418 theaters"
246,https://www.boxofficemojo.com/movies/?id=finesthours.htm,"3,143 theaters"
247,https://www.boxofficemojo.com/movies/?id=hellorhighwater.htm,"$621,329"
248,https://www.boxofficemojo.com/movies/?id=benhur2016.htm,"3,084 theaters"
249,https://www.boxofficemojo.com/movies/?id=bridgetjonessbaby.htm,"2,930 theaters"
250,https://www.boxofficemojo.com/movies/?id=pixar2015.htm,"4,305 theaters"
251,https://www.boxofficemojo.com/movies/?id=illumination2015.htm,"4,381 theaters"
252,https://www.boxofficemojo.com/movies/?id=deadpool2016.htm,"3,856 theaters"
253,https://www.boxofficemojo.com/movies/?id=superman2015.htm,"4,256 theaters"
254,https://www.boxofficemojo.com/movies/?id=illumination2016.htm,"4,029 theaters"
255,https://www.boxofficemojo.com/movies/?id=fantasticbeasts.htm,"4,144 theaters"
256,https://www.boxofficemojo.com/movies/?id=hiddenfigures.htm,"$515,499"
257,https://www.boxofficemojo.com/movies/?id=startrek2016.htm,"3,928 theaters"
258,https://www.boxofficemojo.com/movies/?id=trolls.htm,"4,066 theaters"
259,https://www.boxofficemojo.com/movies/?id=kungfupanda3.htm,"3,987 theaters"
260,https://www.boxofficemojo.com/movies/?id=centralintelligence.htm,"3,508 theaters"
261,https://www.boxofficemojo.com/movies/?id=sully.htm,"3,955 theaters"
262,https://www.boxofficemojo.com/movies/?id=angrybirds.htm,"3,932 theaters"
263,https://www.boxofficemojo.com/movies/?id=conjuring2.htm,"3,356 theaters"
264,https://www.boxofficemojo.com/movies/?id=passengers2016.htm,"3,478 theaters"
265,https://www.boxofficemojo.com/movies/?id=themagnificentseven.htm,"3,696 theaters"
266,https://www.boxofficemojo.com/movies/?id=dontbreathe.htm,"3,384 theaters"
267,https://www.boxofficemojo.com/movies/?id=theaccountant.htm,"3,402 theaters"
268,https://www.boxofficemojo.com/movies/?id=purge3.htm,"2,821 theaters"
269,https://www.boxofficemojo.com/movies/?id=petesdragon2016.htm,"3,702 theaters"
270,https://www.boxofficemojo.com/movies/?id=booamadeahalloween.htm,"2,299 theaters"
271,https://www.boxofficemojo.com/movies/?id=badrobot2016.htm,"3,427 theaters"
272,https://www.boxofficemojo.com/movies/?id=hacksawridge.htm,"2,971 theaters"
273,https://www.boxofficemojo.com/movies/?id=nowyouseeme2.htm,"3,232 theaters"
274,https://www.boxofficemojo.com/movies/?id=michelledarnell.htm,"3,495 theaters"
275,https://www.boxofficemojo.com/movies/?id=miraclesfromheaven.htm,"3,155 theaters"
276,https://www.boxofficemojo.com/movies/?id=whyhim.htm,"3,008 theaters"
277,https://www.boxofficemojo.com/movies/?id=jackreacher2.htm,"3,780 theaters"
278,https://www.boxofficemojo.com/movies/?id=mebeforeyou.htm,"2,762 theaters"
279,https://www.boxofficemojo.com/movies/?id=universalcomedy2016.htm,"3,416 theaters"
280,https://www.boxofficemojo.com/movies/?id=officechristmasparty.htm,"3,210 theaters"
281,https://www.boxofficemojo.com/movies/?id=barbershop3.htm,"2,676 theaters"
282,https://www.boxofficemojo.com/movies/?id=lion.htm,"$123,360"
283,https://www.boxofficemojo.com/movies/?id=kuboandthetwostrings.htm,"3,279 theaters"
284,https://www.boxofficemojo.com/movies/?id=warcraft.htm,"3,406 theaters"
285,https://www.boxofficemojo.com/movies/?id=mikeanddave.htm,"3,008 theaters"
286,https://www.boxofficemojo.com/movies/?id=ameyerschristmas.htm,"2,379 theaters"
287,https://www.boxofficemojo.com/movies/?id=pittcotillard.htm,"3,160 theaters"
288,https://www.boxofficemojo.com/movies/?id=risen.htm,"2,915 theaters"
289,https://www.boxofficemojo.com/movies/?id=boy2016.htm,"2,671 theaters"
290,https://www.boxofficemojo.com/movies/?id=blumhouse3.htm,"3,168 theaters"
291,https://www.boxofficemojo.com/movies/?id=inferno2015.htm,"3,576 theaters"
292,https://www.boxofficemojo.com/movies/?id=patriotsday.htm,"$161,306"
293,https://www.boxofficemojo.com/movies/?id=collateralbeauty.htm,"3,028 theaters"
294,https://www.boxofficemojo.com/movies/?id=whentheboughbreaks.htm,"2,246 theaters"
295,https://www.boxofficemojo.com/movies/?id=moonlight2016.htm,"$402,075"
296,https://www.boxofficemojo.com/movies/?id=florencefosterjenkins.htm,"1,528 theaters"
297,https://www.boxofficemojo.com/movies/?id=forest.htm,"2,509 theaters"
298,https://www.boxofficemojo.com/movies/?id=thewitch.htm,"2,204 theaters"
299,https://www.boxofficemojo.com/movies/?id=kevinhart2016.htm,"2,567 theaters"
300,https://www.boxofficemojo.com/movies/?id=starwars7.htm,"4,134 theaters"
301,https://www.boxofficemojo.com/movies/?id=avengers2.htm,"4,276 theaters"
302,https://www.boxofficemojo.com/movies/?id=fast7.htm,"4,022 theaters"
303,https://www.boxofficemojo.com/movies/?id=hungergames4.htm,"4,175 theaters"
304,https://www.boxofficemojo.com/movies/?id=cinderella2015.htm,"3,848 theaters"
305,https://www.boxofficemojo.com/movies/?id=mi5.htm,"3,988 theaters"
306,https://www.boxofficemojo.com/movies/?id=revenant.htm,"$474,560"
307,https://www.boxofficemojo.com/movies/?id=happysmekday.htm,"3,801 theaters"
308,https://www.boxofficemojo.com/movies/?id=fiftyshadesofgrey.htm,"3,655 theaters"
309,https://www.boxofficemojo.com/movies/?id=straightouttacompton.htm,"3,142 theaters"
310,https://www.boxofficemojo.com/movies/?id=furyroad.htm,"3,722 theaters"
311,https://www.boxofficemojo.com/movies/?id=insurgent.htm,"3,875 theaters"
312,https://www.boxofficemojo.com/movies/?id=secretservice.htm,"3,282 theaters"
313,https://www.boxofficemojo.com/movies/?id=susancooper.htm,"3,715 theaters"
314,https://www.boxofficemojo.com/movies/?id=creed.htm,"3,502 theaters"
315,https://www.boxofficemojo.com/movies/?id=gethard.htm,"3,212 theaters"
316,https://www.boxofficemojo.com/movies/?id=taken3.htm,"3,594 theaters"
317,https://www.boxofficemojo.com/movies/?id=alvin4.htm,"3,705 theaters"
318,https://www.boxofficemojo.com/movies/?id=ted2.htm,"3,448 theaters"
319,https://www.boxofficemojo.com/movies/?id=pixels.htm,"3,723 theaters"
320,https://www.boxofficemojo.com/movies/?id=intern.htm,"3,320 theaters"
321,https://www.boxofficemojo.com/movies/?id=paulblart2.htm,"3,633 theaters"
322,https://www.boxofficemojo.com/movies/?id=warroom2015.htm,"1,945 theaters"
323,https://www.boxofficemojo.com/movies/?id=blumhouse2015.htm,"3,148 theaters"
324,https://www.boxofficemojo.com/movies/?id=whiteybulger15.htm,"3,188 theaters"
325,https://www.boxofficemojo.com/movies/?id=perfectguy.htm,"2,230 theaters"
326,https://www.boxofficemojo.com/movies/?id=fantasticfour15.htm,"4,004 theaters"
327,https://www.boxofficemojo.com/movies/?id=focus2015.htm,"3,323 theaters"
328,https://www.boxofficemojo.com/movies/?id=insidiouschapter3.htm,"3,014 theaters"
329,https://www.boxofficemojo.com/movies/?id=jupiterascending.htm,"3,181 theaters"
